Название видео,Тип видео,Клики по элементам конечной заставки,Показы элементов конечной заставки,Показы тизеров,Постоянные зрители,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,Средний процент просмотра (%),Отказались от подписки,Новые подписчики,Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Просмотры,Время просмотра (часы),Подписчики,Показы,CTR для значков видео (%)
Предел функции. Тема,Тема,1.0,49.0,0.0,28.0,3.0,1.3871,31.0,50.86,0.0,0.0,0.0,0.0,0.0,2.0,43.0,3.1892,0.0,319.0,5.33
Математическое ожидание биномиального распределения. Тема,Тема,2.0,66.0,9.0,47.0,49.0,1.1313,99.0,26.22,0.0,0.0,0.0,4.0,0.0,1.0,112.0,3.1809,0.0,219.0,8.68
Базис и размерность. Ответы,Ответы,0.0,67.0,0.0,47.0,1.0,1.24,50.0,50.05,0.0,0.0,0.0,0.0,0.0,1.0,62.0,3.1116,0.0,579.0,5.35
Способы задания функций. Тема,Тема,0.0,36.0,0.0,17.0,5.0,1.6087,23.0,38.95,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.1107,0.0,161.0,9.32
Геометрический смысл определенного интеграла. Тема,Тема,0.0,24.0,0.0,12.0,76.0,1.1429,91.0,25.72,0.0,0.0,0.0,1.0,0.0,2.0,104.0,3.0906,0.0,381.0,18.9
Собственные значения и собственные векторы. Пример,Пример,0.0,20.0,0.0,43.0,26.0,1.3286,70.0,18.24,0.0,0.0,0.0,0.0,0.0,2.0,93.0,3.0343,0.0,1048.0,7.16
Теорема Кронекера-Капелли. Ответы,Ответы,0.0,88.0,9.0,62.0,27.0,1.1685,89.0,39.4,0.0,0.0,0.0,0.0,0.0,1.0,104.0,3.0277,0.0,784.0,6.63
Графическое представление распределения. Тема,Тема,0.0,40.0,0.0,29.0,3.0,1.2424,33.0,64.71,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.9775,0.0,134.0,5.22
Произведение независимых дискретных случайных величин. Тема,Тема,0.0,32.0,2.0,35.0,14.0,1.2157,51.0,29.97,0.0,1.0,0.0,0.0,0.0,-1.0,62.0,2.947,1.0,166.0,3.61
Линейная зависимость и линейная независимость. Ответы,Ответы,0.0,78.0,4.0,74.0,3.0,1.2805,82.0,27.51,0.0,2.0,0.0,0.0,0.0,1.0,105.0,2.9445,2.0,825.0,7.88
Алгебраические формы произвольных степеней. Тема,Тема,0.0,56.0,5.0,73.0,18.0,1.3667,90.0,18.55,0.0,1.0,0.0,1.0,0.0,1.0,123.0,2.8209,1.0,489.0,7.77
Сумма подпространств. Пример,Пример,1.0,37.0,3.0,29.0,24.0,1.2182,55.0,29.49,0.0,1.0,0.0,0.0,0.0,3.0,67.0,2.7775,1.0,395.0,5.32
Дополнительные миноры и алгебраические дополнения. Ответы,Ответы,1.0,121.0,10.0,78.0,5.0,1.241,83.0,35.47,0.0,0.0,0.0,0.0,0.0,1.0,103.0,2.7607,0.0,568.0,6.34
Формула для вычисления дисперсии. Тема,Тема,0.0,20.0,5.0,24.0,45.0,1.1571,70.0,26.6,0.0,0.0,0.0,1.0,0.0,0.0,81.0,2.759,0.0,201.0,10.45
Условные распределения. Тема,Тема,2.0,22.0,0.0,20.0,30.0,1.2157,51.0,22.63,0.0,0.0,0.0,1.0,0.0,0.0,62.0,2.7355,0.0,330.0,10.3
Векторные поля. Пример,Пример,0.0,24.0,6.0,41.0,24.0,1.3385,65.0,12.81,0.0,0.0,0.0,2.0,0.0,2.0,87.0,2.7185,0.0,554.0,5.6
Определители 2-го и 3-го порядков. Ответы,Ответы,0.0,152.0,10.0,89.0,7.0,1.1875,96.0,47.62,0.0,1.0,0.0,0.0,0.0,1.0,114.0,2.7141,1.0,600.0,6.5
Компактные области. Тема,Тема,0.0,20.0,0.0,21.0,5.0,2.2308,26.0,17.53,0.0,1.0,0.0,1.0,0.0,1.0,58.0,2.7051,1.0,168.0,5.36
Свойства сходящихся последовательностей. Тема,Тема,1.0,33.0,0.0,27.0,21.0,1.1667,48.0,34.04,0.0,0.0,0.0,0.0,0.0,1.0,56.0,2.6581,0.0,349.0,8.6
Характеристический многочлен. Пример,Пример,0.0,80.0,2.0,60.0,16.0,1.3289,76.0,25.56,0.0,0.0,0.0,1.0,0.0,4.0,101.0,2.653,0.0,772.0,6.22
Основные преобразования плоскости. Тема,Тема,0.0,24.0,5.0,33.0,5.0,1.4211,38.0,25.61,0.0,0.0,0.0,0.0,0.0,2.0,54.0,2.5435,0.0,657.0,4.26
Линейность и аддитивность криволинейного интеграла первого рода. Тема,Тема,0.0,40.0,10.0,22.0,4.0,1.5926,27.0,37.53,0.0,0.0,0.0,0.0,0.0,3.0,43.0,2.5149,0.0,531.0,5.84
Сдвиг дискретной случайной величины. Тема,Тема,0.0,36.0,0.0,24.0,0.0,1.16,25.0,61.85,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.4962,0.0,112.0,4.46
Линейная регрессия методом ортогональных проекций. Пример,Пример,0.0,8.0,0.0,23.0,4.0,1.5556,27.0,20.94,0.0,0.0,0.0,1.0,0.0,0.0,42.0,2.4889,0.0,536.0,3.73
Вырожденные и невырожденные однородные линейные системы. Тема,Тема,0.0,16.0,0.0,12.0,36.0,1.2292,48.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2.4771,0.0,122.0,13.11
Дисперсия дискретной случайной величины. Тема,Тема,1.0,17.0,5.0,20.0,20.0,1.2619,42.0,34.53,0.0,0.0,0.0,0.0,0.0,1.0,53.0,2.4197,0.0,226.0,7.96
Точная квадратичная интерполяция. Тема,Тема,0.0,24.0,1.0,17.0,13.0,1.4688,32.0,27.69,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.346,0.0,284.0,6.69
Приведение кривой второго порядка к каноническому виду. И еще один пример,Пример,0.0,20.0,0.0,30.0,0.0,1.7188,32.0,12.72,0.0,0.0,0.0,1.0,0.0,2.0,55.0,2.3426,0.0,449.0,7.13
Действие линейного оператора в матричной форме. Тема,Тема,0.0,32.0,0.0,27.0,0.0,1.5,28.0,32.1,0.0,0.0,0.0,1.0,0.0,0.0,42.0,2.3292,0.0,499.0,4.81
Определение двойного интеграла. Тема,Тема,0.0,24.0,0.0,16.0,8.0,1.88,25.0,28.41,0.0,0.0,0.0,1.0,0.0,1.0,47.0,2.3215,0.0,312.0,7.69
Производная по параметру. Тема,Тема,1.0,30.0,0.0,15.0,5.0,1.3333,21.0,49.75,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3101,0.0,148.0,8.78
Разложения определителей. Ответы,Ответы,3.0,130.0,0.0,70.0,2.0,1.25,72.0,45.73,0.0,0.0,0.0,0.0,0.0,3.0,90.0,2.2866,0.0,503.0,6.76
Полярные координаты. Тема,Тема,2.0,21.0,0.0,17.0,37.0,1.1296,54.0,17.04,0.0,1.0,0.0,1.0,0.0,2.0,61.0,2.2782,1.0,584.0,7.19
Условные математические ожидания. Тема,Тема,0.0,40.0,1.0,20.0,20.0,1.25,40.0,20.95,0.0,0.0,0.0,0.0,0.0,3.0,50.0,2.2753,0.0,366.0,9.56
Датафреймы pandas. Пропуски данных,Другое,0.0,44.0,0.0,16.0,34.0,1.2778,54.0,28.19,0.0,2.0,0.0,0.0,0.0,3.0,69.0,2.2475,2.0,885.0,6.33
Полная матричная алгебра. Вопросы,Вопросы,2.0,154.0,15.0,91.0,6.0,1.2525,99.0,50.92,0.0,1.0,0.0,1.0,0.0,4.0,124.0,2.2277,1.0,693.0,5.19
Логарифмическое дифференцирование. Тема,Тема,0.0,37.0,0.0,17.0,7.0,1.2,25.0,44.77,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.2273,0.0,199.0,7.54
Теоремы о пределах. Тема,Тема,0.0,32.0,0.0,22.0,19.0,1.1951,41.0,26.86,0.0,1.0,0.0,0.0,0.0,1.0,49.0,2.1865,1.0,282.0,8.87
"Бесконечно малые, бесконечно большие и ограниченные функции. Тема",Тема,0.0,32.0,0.0,23.0,37.0,1.082,61.0,22.71,0.0,0.0,0.0,1.0,0.0,1.0,66.0,2.1859,0.0,635.0,7.72
Определители 2-го и 3-го порядков. Вопросы,Вопросы,1.0,121.0,10.0,95.0,2.0,1.2474,97.0,43.28,0.0,0.0,0.0,0.0,0.0,1.0,121.0,2.1673,0.0,768.0,5.86
Линейная зависимость и линейная независимость. Вопросы,Вопросы,1.0,189.0,11.0,139.0,32.0,1.221,181.0,27.54,0.0,1.0,0.0,0.0,0.0,1.0,221.0,2.1474,1.0,2075.0,5.59
Элементарные исходы. Ответы,Ответы,1.0,41.0,5.0,40.0,0.0,1.175,40.0,62.35,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.1326,0.0,207.0,6.28
Вычисление определителей по методу Гаусса. Вопросы,Вопросы,0.0,124.0,5.0,131.0,1.0,1.2406,133.0,36.21,0.0,1.0,0.0,0.0,0.0,1.0,165.0,2.1079,1.0,1194.0,6.7
Скалярное кратное и сумма матриц. Ответы,Ответы,3.0,218.0,10.0,89.0,0.0,1.3258,89.0,43.67,0.0,0.0,0.0,0.0,0.0,2.0,118.0,2.09,0.0,663.0,5.58
Ортогональное дополнение. Еще один пример,Пример,0.0,76.0,0.0,55.0,3.0,1.2667,60.0,30.05,0.0,0.0,0.0,1.0,0.0,1.0,76.0,2.0874,0.0,781.0,6.02
Понижение ранга матрицы при помощи сингулярного разложения. Тема,Тема,0.0,32.0,0.0,23.0,27.0,1.3,50.0,21.65,0.0,0.0,0.0,0.0,0.0,1.0,65.0,2.0872,0.0,555.0,3.6
Математическое ожидание дискретной случайной величины. Тема,Тема,0.0,44.0,0.0,31.0,7.0,1.5476,42.0,30.41,0.0,0.0,0.0,0.0,0.0,1.0,65.0,2.0868,0.0,161.0,8.7
Псевдорешение переопределенных систем. Тема,Тема,1.0,45.0,0.0,31.0,13.0,1.2222,45.0,24.09,0.0,0.0,0.0,0.0,0.0,1.0,55.0,2.083,0.0,412.0,6.8
Решение однородных линейных систем. Ответы,Ответы,0.0,56.0,8.0,41.0,0.0,1.1463,41.0,59.2,0.0,0.0,0.0,0.0,0.0,1.0,47.0,2.0791,0.0,409.0,4.4
Решение линейных систем методом Гаусса. Ответы,Ответы,0.0,36.0,0.0,43.0,2.0,1.1111,45.0,36.67,0.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0625,0.0,411.0,4.62
Дисперсия биномиального распределения. Тема,Тема,1.0,49.0,8.0,29.0,37.0,1.1014,69.0,29.1,0.0,0.0,0.0,1.0,0.0,2.0,76.0,2.0332,0.0,173.0,8.09
Матрица линейного отображения в новых базисах. Тема,Тема,0.0,16.0,2.0,30.0,5.0,1.1667,36.0,22.37,0.0,0.0,0.0,0.0,0.0,1.0,42.0,2.0196,0.0,445.0,3.6
Псевдорешение переопределенных систем. Пример,Пример,0.0,20.0,0.0,28.0,10.0,1.3421,38.0,26.56,0.0,0.0,0.0,1.0,0.0,1.0,51.0,2.0093,0.0,365.0,6.85
Наклонные асимптоты. Тема,Тема,0.0,24.0,0.0,10.0,16.0,1.2308,26.0,35.14,0.0,0.0,1.0,0.0,0.0,1.0,32.0,2.0083,0.0,253.0,5.53
Обратные линейные операторы. Тема,Тема,0.0,40.0,0.0,26.0,7.0,1.1765,34.0,32.03,0.0,0.0,0.0,0.0,0.0,2.0,40.0,1.9968,0.0,552.0,3.26
Свойства определителей. Вопросы,Вопросы,2.0,113.0,12.0,94.0,2.0,1.2188,96.0,48.28,0.0,1.0,0.0,0.0,0.0,1.0,117.0,1.9928,1.0,788.0,6.22
Вертикальные и горизонтальные асимптоты. Тема,Тема,0.0,24.0,0.0,8.0,26.0,1.3143,35.0,26.04,0.0,0.0,0.0,0.0,0.0,1.0,46.0,1.9863,0.0,254.0,5.51
Скалярное кратное дискретной случайной величины. Тема,Тема,0.0,24.0,0.0,22.0,0.0,1.1304,23.0,55.05,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.9442,0.0,103.0,3.88
Приведение кривой второго порядка к каноническому виду. Тема,Тема,0.0,28.0,0.0,35.0,7.0,1.1395,43.0,26.75,0.0,1.0,0.0,0.0,0.0,2.0,49.0,1.944,1.0,608.0,6.25
Представление рациональной функции в виде суммы простейших дробей. Тема,Тема,0.0,8.0,0.0,8.0,19.0,1.4074,27.0,23.56,0.0,0.0,0.0,0.0,0.0,1.0,38.0,1.9321,0.0,132.0,12.88
Формула полной вероятности. Ответы,Ответы,0.0,12.0,0.0,23.0,0.0,1.2174,23.0,59.73,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.8908,0.0,160.0,1.88
Скалярное кратное и сумма матриц. Вопросы,Вопросы,1.0,169.0,18.0,104.0,1.0,1.2,105.0,52.2,0.0,1.0,0.0,0.0,0.0,3.0,126.0,1.8817,1.0,768.0,4.43
Направления выпуклости. Тема,Тема,2.0,26.0,0.0,8.0,0.0,2.125,8.0,43.99,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.8385,0.0,79.0,2.53
Эквивалентные бесконечно малые. Тема,Тема,1.0,33.0,0.0,18.0,6.0,1.3077,26.0,33.18,0.0,0.0,0.0,1.0,0.0,-1.0,34.0,1.8363,0.0,286.0,4.9
Матричное умножение. Вопросы,Вопросы,0.0,100.0,14.0,85.0,1.0,1.3488,86.0,40.94,0.0,0.0,0.0,0.0,0.0,2.0,116.0,1.8336,0.0,745.0,4.97
Условные экстремумы. Тема,Тема,0.0,8.0,0.0,20.0,8.0,1.2857,28.0,21.93,0.0,1.0,0.0,0.0,0.0,2.0,36.0,1.8242,1.0,518.0,5.41
Случайные события. Ответы,Ответы,0.0,84.0,5.0,49.0,2.0,1.1765,51.0,68.06,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.815,0.0,257.0,6.23
Двойной интеграл в полярных координатах. Тема,Тема,0.0,16.0,0.0,33.0,19.0,1.0556,54.0,19.03,0.0,0.0,0.0,0.0,0.0,1.0,57.0,1.7992,0.0,500.0,8.2
Линейные оболочки. Ответы,Ответы,0.0,56.0,1.0,44.0,1.0,1.1702,47.0,41.34,0.0,0.0,0.0,0.0,0.0,-1.0,55.0,1.7937,0.0,538.0,5.58
Максимальное и минимальное значение функции. Тема,Тема,0.0,8.0,0.0,2.0,72.0,1.0822,73.0,15.53,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1.7889,0.0,239.0,12.13
Производная неявной функции. Тема,Тема,0.0,23.0,0.0,13.0,1.0,1.4286,14.0,52.03,0.0,0.0,0.0,1.0,0.0,-1.0,20.0,1.7836,0.0,142.0,3.52
Векторные пространства. Ответы,Ответы,1.0,76.0,0.0,43.0,1.0,1.5333,45.0,33.7,0.0,0.0,0.0,0.0,0.0,1.0,69.0,1.7568,0.0,660.0,5.0
Сумма и скалярное кратное линейных операторов. Тема,Тема,0.0,28.0,8.0,25.0,0.0,1.3333,24.0,41.55,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.747,0.0,488.0,3.69
Решение линейных систем методом матричного обращения. Ответы,Ответы,0.0,44.0,5.0,45.0,1.0,1.1739,46.0,42.73,0.0,0.0,0.0,0.0,0.0,3.0,54.0,1.7434,0.0,395.0,5.06
Производная параметрической функции. Тема,Тема,0.0,31.0,0.0,17.0,4.0,1.4091,22.0,45.3,0.0,0.0,0.0,0.0,0.0,2.0,31.0,1.7164,0.0,241.0,7.47
Линейные операторы. Ответы,Ответы,0.0,28.0,5.0,30.0,0.0,1.0323,31.0,35.16,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.6781,0.0,672.0,3.42
Произведение линейных операторов. Тема,Тема,0.0,24.0,0.0,22.0,0.0,1.1364,22.0,47.21,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.6753,0.0,455.0,2.86
Порядок малости. Ответы,Ответы,0.0,44.0,4.0,19.0,47.0,1.2254,71.0,28.58,0.0,0.0,0.0,0.0,0.0,1.0,87.0,1.6645,0.0,376.0,8.51
Предел функции двух переменных. Ответы,Ответы,0.0,68.0,0.0,37.0,12.0,1.2708,48.0,41.5,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.6597,0.0,349.0,7.74
Связь линейных систем и линейных оболочек. Ответы,Ответы,1.0,33.0,0.0,31.0,0.0,1.3226,31.0,41.69,0.0,0.0,0.0,0.0,0.0,1.0,41.0,1.6571,0.0,473.0,3.59
Решение неоднородных линейных систем. Ответы,Ответы,1.0,69.0,5.0,44.0,3.0,1.234,47.0,38.57,0.0,1.0,0.0,0.0,0.0,1.0,58.0,1.6469,1.0,123.0,20.33
Случайные события. Вопросы,Вопросы,1.0,33.0,5.0,52.0,0.0,1.25,52.0,54.85,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.6242,0.0,337.0,5.34
Действие линейного оператора в матричной форме. Продолжение. Тема,Тема,0.0,24.0,0.0,19.0,0.0,1.5789,19.0,36.29,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.5879,0.0,433.0,3.7
Полиномиальная регрессия. Пример. Изящное решение,Пример,2.0,26.0,0.0,19.0,23.0,1.0652,46.0,16.16,0.0,1.0,0.0,0.0,0.0,3.0,49.0,1.5818,1.0,588.0,5.78
Непрерывность. Тема,Тема,0.0,24.0,0.0,20.0,3.0,1.2917,24.0,55.19,0.0,0.0,0.0,0.0,0.0,-2.0,31.0,1.5779,0.0,312.0,4.17
Аксиомы скалярного произведения. Тема,Тема,0.0,36.0,0.0,33.0,2.0,1.2222,36.0,31.73,0.0,0.0,0.0,0.0,0.0,1.0,44.0,1.5744,0.0,453.0,5.3
Среднее значение функции на отрезке. Тема,Тема,0.0,22.0,0.0,14.0,39.0,1.0755,53.0,19.04,0.0,0.0,0.0,0.0,0.0,2.0,57.0,1.562,0.0,234.0,13.25
Вычисление криволинейного интеграла первого рода в параметрическом случае. Тема,Тема,0.0,24.0,0.0,28.0,1.0,1.2667,30.0,30.31,0.0,0.0,0.0,0.0,0.0,3.0,38.0,1.5615,0.0,408.0,6.37
Перестановки. Ответы,Ответы,0.0,52.0,0.0,37.0,0.0,1.1351,37.0,67.57,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.553,0.0,220.0,6.82
Достаточное условие экстремума функции двух переменных. Тема,Тема,0.0,8.0,0.0,17.0,12.0,1.1034,29.0,23.09,0.0,0.0,0.0,1.0,0.0,1.0,32.0,1.5212,0.0,259.0,4.63
Определение определенного интеграла. Тема,Тема,0.0,28.0,0.0,25.0,5.0,1.6,30.0,25.86,0.0,2.0,0.0,0.0,0.0,0.0,48.0,1.5101,2.0,159.0,8.81
Кейс Diamonds. Понижение размерности,Другое,0.0,0.0,0.0,147.0,29.0,1.0615,179.0,12.98,0.0,1.0,0.0,0.0,0.0,2.0,190.0,1.5072,1.0,1714.0,9.39
Геометрический смысл производной. Тема,Тема,0.0,29.0,0.0,15.0,2.0,1.2353,17.0,58.37,0.0,0.0,0.0,0.0,0.0,2.0,21.0,1.4573,0.0,229.0,6.11
Частные производные высших порядков. Тема,Тема,0.0,24.0,0.0,13.0,1.0,1.3889,18.0,35.59,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.4535,0.0,161.0,6.83
Линейная регрессия методом наименьших квадратов. Пример,Пример,0.0,0.0,0.0,13.0,4.0,1.2941,17.0,21.25,0.0,1.0,0.0,1.0,0.0,1.0,22.0,1.4534,1.0,386.0,2.85
Необходимое условие экстремума функции двух переменных. Тема,Тема,0.0,12.0,4.0,23.0,11.0,1.0588,34.0,23.86,0.0,0.0,0.0,0.0,0.0,1.0,36.0,1.4515,0.0,475.0,5.68
Диагонализация матрицы линейного оператора. Еще один пример,Пример,0.0,52.0,2.0,51.0,0.0,1.1923,52.0,20.97,0.0,0.0,0.0,0.0,0.0,1.0,62.0,1.4299,0.0,815.0,4.91
Монотонные последовательности. Ответы,Ответы,0.0,36.0,0.0,28.0,14.0,1.1136,44.0,30.95,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.4281,0.0,542.0,4.24
Натуральные степени дискретных случайных величин. Тема,Тема,0.0,36.0,0.0,19.0,0.0,1.05,20.0,68.63,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.4252,0.0,99.0,3.03
Масса плоской пластины. Тема,Тема,0.0,12.0,0.0,30.0,21.0,1.2549,51.0,17.72,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.4241,0.0,303.0,12.54
Понижение размерности данных при помощи сингулярного разложения. Тема,Тема,1.0,41.0,0.0,24.0,6.0,1.1333,30.0,24.39,0.0,0.0,0.0,0.0,0.0,1.0,34.0,1.4238,0.0,521.0,3.65
Алгебра случайных событий. Ответы,Ответы,0.0,52.0,0.0,32.0,0.0,1.125,32.0,68.05,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.4223,0.0,182.0,4.95
Функции от матриц. Ответы,Ответы,1.0,29.0,0.0,30.0,17.0,1.2128,47.0,31.41,0.0,0.0,0.0,1.0,0.0,0.0,57.0,1.3925,0.0,545.0,5.69
Формула для вычисления ковариации. Тема,Тема,0.0,12.0,4.0,20.0,23.0,1.1163,43.0,16.75,0.0,0.0,0.0,0.0,0.0,1.0,48.0,1.3733,0.0,226.0,6.19
Линейность определенного интеграла. Тема,Тема,0.0,16.0,0.0,19.0,23.0,1.1395,43.0,32.55,0.0,0.0,0.0,0.0,0.0,1.0,49.0,1.3644,0.0,130.0,13.85
Решение линейных систем методом Крамера. Ответы,Ответы,1.0,73.0,0.0,42.0,1.0,1.2093,43.0,42.45,0.0,0.0,0.0,0.0,0.0,2.0,52.0,1.3611,0.0,412.0,4.85
Закон распределения дискретной случайной величины. Ответы,Ответы,0.0,24.0,0.0,20.0,0.0,1.05,20.0,61.8,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.359,0.0,116.0,6.9
Повторный интеграл. Тема,Тема,0.0,8.0,0.0,17.0,6.0,1.1304,23.0,22.05,0.0,0.0,0.0,0.0,0.0,1.0,26.0,1.352,0.0,198.0,9.09
Вычисление ранга матрицы методом окаймляющих миноров. Вопросы,Вопросы,1.0,201.0,2.0,89.0,24.0,1.2845,116.0,31.69,0.0,0.0,1.0,0.0,0.0,1.0,149.0,1.3502,0.0,759.0,8.17
Правила дифференцирования. Тема,Тема,0.0,18.0,0.0,19.0,7.0,1.1852,27.0,33.46,0.0,0.0,0.0,0.0,0.0,1.0,32.0,1.3444,0.0,145.0,6.9
Формула для вычисления ковариации. Ответы,Ответы,0.0,12.0,6.0,11.0,32.0,1.186,43.0,31.6,0.0,0.0,0.0,0.0,0.0,-1.0,51.0,1.3385,0.0,151.0,1.32
Определенный интеграл с переменным верхним пределом. Тема,Тема,0.0,10.0,3.0,15.0,9.0,1.2083,24.0,24.4,0.0,0.0,0.0,0.0,0.0,-1.0,29.0,1.3365,0.0,119.0,10.08
Массивы numpy. Операции shape и reshape,Другое,0.0,24.0,0.0,9.0,12.0,1.1905,21.0,35.84,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.334,0.0,365.0,3.56
Дополнительные миноры и алгебраические дополнения. Вопросы,Вопросы,0.0,152.0,11.0,79.0,6.0,1.2,85.0,43.83,0.0,0.0,0.0,0.0,0.0,1.0,102.0,1.304,0.0,765.0,6.54
Процесс ортогонализации Грама-Шмидта. Еще один пример,Пример,0.0,36.0,0.0,53.0,3.0,1.15,60.0,15.35,0.0,0.0,0.0,0.0,0.0,2.0,69.0,1.2974,0.0,1007.0,4.87
Односторонние пределы. Ответы,Ответы,0.0,28.0,0.0,19.0,11.0,1.2667,30.0,35.67,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.2954,0.0,287.0,6.27
График функции двух переменных. Ответы,Ответы,0.0,0.0,0.0,10.0,10.0,1.2,20.0,38.79,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.262,0.0,189.0,3.17
Матрица линейного отображения в новых базисах. Вопросы,Вопросы,1.0,77.0,1.0,94.0,14.0,1.6111,108.0,20.49,0.0,0.0,0.0,0.0,0.0,1.0,174.0,1.2574,0.0,561.0,5.17
Эллипсы. Тема,Тема,0.0,32.0,0.0,18.0,15.0,1.0882,34.0,22.41,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.2532,0.0,418.0,3.59
Максимальные и минимальные значения функции двух переменных. Тема,Тема,0.0,8.0,0.0,9.0,15.0,1.0417,24.0,20.3,0.0,0.0,0.0,0.0,0.0,2.0,25.0,1.2491,0.0,120.0,4.17
Таблица производных. Тема,Тема,0.0,30.0,0.0,15.0,15.0,1.1786,28.0,39.17,0.0,0.0,0.0,0.0,0.0,1.0,33.0,1.2216,0.0,167.0,7.78
Датафреймы pandas. Замена строковых значений на числовые,Другое,0.0,12.0,0.0,13.0,23.0,1.1622,37.0,26.47,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.2045,0.0,414.0,3.62
Вычисление обратных матриц по методу Гаусса. Ответы,Ответы,0.0,104.0,0.0,58.0,1.0,1.339,59.0,42.68,0.0,0.0,0.0,0.0,0.0,1.0,79.0,1.1894,0.0,447.0,5.15
Разложение по базису. Ответы,Ответы,0.0,65.0,0.0,24.0,4.0,1.4483,29.0,43.17,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.1885,0.0,431.0,4.64
Разложения определителей. Вопросы,Вопросы,1.0,69.0,5.0,66.0,0.0,1.197,66.0,49.18,0.0,0.0,0.0,0.0,0.0,1.0,79.0,1.1872,0.0,595.0,5.38
Линейные операторы. Вопросы,Вопросы,0.0,40.0,5.0,47.0,2.0,1.1,50.0,29.75,0.0,0.0,0.0,0.0,0.0,1.0,55.0,1.1818,0.0,1172.0,3.16
Кейс Diamonds. Кодирование категориальных данных методом OneHotEncoding,Другое,0.0,12.0,0.0,7.0,7.0,1.5333,15.0,36.69,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.1792,0.0,421.0,1.9
Регрессионный анализ временных рядов. Пример,Пример,0.0,12.0,0.0,17.0,9.0,1.0714,28.0,9.52,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1.1593,0.0,380.0,5.53
Умножение вероятностей. Ответы,Ответы,0.0,24.0,0.0,26.0,0.0,1.1538,26.0,61.27,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.1591,0.0,165.0,4.85
Размещения. Ответы,Ответы,1.0,33.0,0.0,36.0,1.0,1.3784,37.0,48.7,0.0,0.0,0.0,0.0,0.0,-1.0,51.0,1.1383,0.0,237.0,7.17
Возрастание и убывание функций. Тема,Тема,0.0,8.0,0.0,19.0,12.0,1.25,32.0,16.14,0.0,1.0,0.0,0.0,0.0,0.0,40.0,1.135,1.0,168.0,3.57
Последовательности. Ответы,Ответы,0.0,28.0,0.0,32.0,4.0,1.25,36.0,28.6,0.0,0.0,0.0,0.0,0.0,2.0,45.0,1.101,0.0,350.0,6.29
Векторные пространства. Вопросы,Вопросы,0.0,58.0,0.0,45.0,0.0,1.3913,46.0,40.6,0.0,0.0,1.0,0.0,0.0,0.0,64.0,1.0899,0.0,791.0,3.54
Непрерывность. Ответы,Ответы,0.0,24.0,0.0,11.0,0.0,1.25,12.0,55.18,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0805,0.0,39.0,10.26
Интерполяция. Ответы,Ответы,0.0,20.0,0.0,20.0,3.0,1.2917,24.0,29.91,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0715,0.0,141.0,9.93
Действие линейного оператора в матричной форме. Ответы,Ответы,1.0,33.0,0.0,14.0,1.0,1.8,15.0,27.11,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0675,0.0,422.0,4.03
Комбинаторный принцип умножения возможностей. Ответы,Ответы,1.0,49.0,4.0,38.0,0.0,1.1842,38.0,61.57,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0544,0.0,203.0,8.37
